pygame-ce 2.4.1 (SDL 2.28.5, Python 3.10.12)
         20409299 function calls (20402393 primitive calls) in 10.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3170    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x62f3008429a0}
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      763    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      261    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      175    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      348    0.000    0.000    0.001    0.000 re.py:202(sub)
        1    0.000    0.000    0.001    0.001 markers.py:1(<module>)
     4884    0.001    0.000    0.001    0.000 version.py:81(__eq__)
      150    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
     3739    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       36    0.000    0.000    0.001    0.000 __init__.py:1910(get_metadata_lines)
      342    0.000    0.000    0.001    0.000 __init__.py:1309(safe_name)
      486    0.001    0.000    0.001    0.000 posixpath.py:150(dirname)
     1930    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      223    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      763    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     5352    0.001    0.000    0.001    0.000 version.py:271(<genexpr>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
      471    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.001    0.001 _data_classes.py:1(<module>)
      906    0.001    0.000    0.001    0.000 __init__.py:2650(key)
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      479    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
       19    0.001    0.000    0.001    0.000 {method 'tick' of 'pygame.time.Clock' objects}
       36    0.000    0.000    0.001    0.000 __init__.py:1894(get_metadata)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
      360    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 dataclasses.py:1174(wrap)
        1    0.000    0.000    0.001    0.001 dataclasses.py:881(_process_class)
      365    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      141    0.000    0.000    0.001    0.000 __init__.py:2880(insert_on)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       14    0.000    0.000    0.001    0.000 __init__.py:2116(safe_listdir)
       12    0.000    0.000    0.001    0.000 typing.py:1239(copy_with)
       84    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
     5664    0.001    0.000    0.001    0.000 version.py:393(_parse_letter_version)
      751    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4763(srange)
      104    0.000    0.000    0.001    0.000 traceback.py:301(line)
      684    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
       28    0.001    0.000    0.001    0.000 inspect.py:744(cleandoc)
      230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2884    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       41    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
       78    0.000    0.000    0.001    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
     6572    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       78    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
       27    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
        7    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      401    0.001    0.000    0.001    0.000 ntpath.py:150(splitdrive)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 sysfont.py:1(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
        7    0.000    0.000    0.001    0.000 typing.py:2247(_make_nmtuple)
      830    0.000    0.000    0.001    0.000 __init__.py:2825(__getattr__)
       33    0.000    0.000    0.001    0.000 typing.py:1083(copy_with)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2328    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 sprite.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       21    0.001    0.000    0.001    0.000 {built-in method pygame.display.set_caption}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 specifiers.py:245(LegacySpecifier)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
     3123    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
      133    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
      144    0.000    0.000    0.001    0.000 typing.py:1284(__hash__)
       14    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      123    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
     1962    0.000    0.000    0.001    0.000 sre_parse.py:161(__len__)
       20    0.001    0.000    0.001    0.000 {built-in method pygame.event.get}
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
     5867    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
       33    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
      420    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
        6    0.000    0.000    0.001    0.000 dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
      343    0.000    0.000    0.001    0.000 posixpath.py:140(basename)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      398    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     1588    0.000    0.000    0.001    0.000 version.py:69(__lt__)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
     1142    0.000    0.000    0.001    0.000 __init__.py:2358(_normalize_cached)
       18    0.000    0.000    0.001    0.000 typing.py:1223(__getitem__)
     5064    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
     2011    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1238    0.000    0.000    0.001    0.000 sre_parse.py:287(tell)
      545    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      350    0.000    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     1439    0.000    0.000    0.001    0.000 sre_parse.py:173(append)
